date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-04-12 22:00:00+00:00,2023,Belgrano Cordoba,Huracan,440,445,2,0,2
2023-04-12 22:30:00+00:00,2023,Racing Club,Newells Old Boys,436,457,0,1,0
2023-04-13 00:30:00+00:00,2023,Rosario Central,Independiente,437,453,1,0,2
2023-04-13 00:30:00+00:00,2023,Estudiantes L.P.,Atletico Tucuman,450,455,0,0,1
2023-04-13 17:00:00+00:00,2023,Arsenal Sarandi,Godoy Cruz,459,439,2,3,0
2023-04-13 19:30:00+00:00,2023,Colon Santa Fe,Talleres Cordoba,448,456,2,2,1
2023-04-13 22:30:00+00:00,2023,River Plate,Gimnasia L.P.,435,434,3,0,2
2023-04-14 00:30:00+00:00,2023,Tigre,Sarmiento Junin,452,474,1,0,2
2023-04-15 19:30:00+00:00,2023,Defensa Y Justicia,Instituto Cordoba,442,478,1,0,2
2023-04-15 22:00:00+00:00,2023,Boca Juniors,Estudiantes L.P.,451,450,0,1,0
2023-04-16 00:30:00+00:00,2023,Gimnasia L.P.,Belgrano Cordoba,434,440,0,2,0
2023-04-16 00:30:00+00:00,2023,Huracan,Argentinos JRS,445,458,0,0,1
2023-04-16 17:00:00+00:00,2023,Velez Sarsfield,Barracas Central,438,2432,0,0,1
2023-04-16 17:00:00+00:00,2023,Union Santa Fe,Tigre,441,452,0,0,1
2023-04-16 19:30:00+00:00,2023,Independiente,Racing Club,453,436,1,1,1
2023-04-16 22:00:00+00:00,2023,Newells Old Boys,River Plate,457,435,0,1,0
2023-04-17 00:30:00+00:00,2023,Talleres Cordoba,San Lorenzo,456,460,0,0,1
2023-04-17 19:30:00+00:00,2023,Platense,Colon Santa Fe,1064,448,0,0,1
2023-04-17 22:00:00+00:00,2023,Banfield,Central Cordoba de Santiago,449,1065,1,0,2
2023-04-17 22:00:00+00:00,2023,Sarmiento Junin,Arsenal Sarandi,474,459,1,0,2
2023-04-18 00:30:00+00:00,2023,Godoy Cruz,Lanus,439,446,4,4,1
2023-04-18 00:30:00+00:00,2023,Atletico Tucuman,Rosario Central,455,437,2,2,1
2023-04-21 23:30:00+00:00,2023,Colon Santa Fe,Velez Sarsfield,448,438,2,1,2
2023-04-22 18:30:00+00:00,2023,Lanus,Sarmiento Junin,446,474,2,1,2
2023-04-22 18:30:00+00:00,2023,Arsenal Sarandi,Union Santa Fe,459,441,2,1,2
2023-04-22 23:30:00+00:00,2023,Belgrano Cordoba,Newells Old Boys,440,457,1,0,2
2023-04-22 23:30:00+00:00,2023,Central Cordoba de Santiago,Godoy Cruz,1065,439,0,2,0
2023-04-23 14:00:00+00:00,2023,San Lorenzo,Platense,460,1064,1,0,2
2023-04-23 18:30:00+00:00,2023,Rosario Central,Boca Juniors,437,451,2,2,1
2023-04-23 20:30:00+00:00,2023,Instituto Cordoba,Banfield,478,449,1,1,1
